日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
2/11,系統軟體工程師II (工作地點:台北/竹北),大陸商廈門星宸科技有限公司台灣分公司,台北市內湖區或竹北台元科技園區,待遇面議,-Customer support.-Video/Audio/Network/GUI system integration.-Linux QT integration on Arm.-Linux driver integration.,台北市內湖區,經歷不拘,大學,,7ixzo,www.104.com.tw/job/7ixzo?jobsource=jolist_c_relevance
2/15,Java Web 軟體工程師,艾米科技有限公司,台北市內湖區洲子街80號9樓,待遇面議,1. 開發高流量電商平台 2. 負責開發前後端(Fullstack)系統 3. 與團隊分享新技術，主動改進與提升系统功能 4. 願意解決bugs與系统問題 . 面試時歡迎攜帶作品集(畫面截圖亦可),台北市內湖區,1年以上,專科,員工50人,6cmkc,www.104.com.tw/job/6cmkc?jobsource=jolist_c_relevance
2/17,資深軟體工程師(證券),凌群電腦股份有限公司,台北市萬華區峨眉街115號6樓,待遇面議,證券期貨交易帳務系統開發維護,台北市萬華區,經歷不拘,專科,上市上櫃,4jeg5,www.104.com.tw/job/4jeg5?jobsource=jolist_c_relevance
2/14,【5G】前端軟體工程師(高雄),中華系統整合股份有限公司,高雄市苓雅區,待遇面議,5G 智慧應用設備端程式設計及開發,高雄市苓雅區,2年以上,大學,員工320人,7f3jb,www.104.com.tw/job/7f3jb?jobsource=jolist_c_relevance
2/14,軟體工程師(C#),科萊博瑞科技有限公司,台北市內湖區民權東路六段15巷41號2樓,"35,000",基本要求：1. .net Framework 4.5 以上開發經驗。2. SQL Server T-SQL or Stored Procedure 開發經驗。3. 主動積極、細心負責、有效率、配合度高、重視團隊合作。工作內容： 1. 系統的維護與優化。2. 團隊版控使用  Git，並使用 Jenkins 做持續整合。,台北市內湖區,1年以上,高中,員工140人,5rdyy,www.104.com.tw/job/5rdyy?jobsource=jolist_c_relevance
2/14,資深軟體工程師(C#),科萊博瑞科技有限公司,台北市內湖區民權東路六段15巷41號2樓,待遇面議,"基本要求：1. .net Framework 4.5 以上開發經驗。2. SQL Server T-SQL or Stored Procedure 開發經驗。3. 主動積極、細心負責、有效率、配合度高、重視團隊合作。工作內容： 1. 系統整合與資料串接(web service, web api, wcf)。2. 系統底層模組的維護與改進。3. 團隊版控使用  Git，並使用 Jenkins 做持續整合。",台北市內湖區,3年以上,專科,員工140人,4ugz0,www.104.com.tw/job/4ugz0?jobsource=jolist_a_relevance
2/15,Android App開發 軟體工程師,鴻發國際科技股份有限公司,新北市汐止區新台五路一段114號11F,待遇面議,"工作內容：•	與負責與硬體device, backend以及 UI/UX的同仁合作，以使用者為最終客戶，設計出穩定度高、使用者友善的mobile application•	需要有面對問題找出solution的能力，善用開發完整的第三方library，以及串接雲端服務API。•	需要有trace source code能力，且樂於 debug。•	Share your knowledge to your colleague。Minimum requirement:•	熟悉 Android Studio 開發環境•	一年以上 mobile application development 經驗•	熟悉 Android, Java SDK•	熟悉 3rd-party 套件整合•	熟悉基本 git 操作•	熟悉基本linux command line操作•	有閱讀英文技術文件能力Plus qualifications：•	有 App 上架作品(請附上連結)•	有 App 上架經驗•	熟悉 sqlite database•	了解 Restful API 等相關網路協議串接技術•	使用過 ijkplayer 或其他第三方 player•	有 BLE device 串接相關經驗",新北市汐止區,經歷不拘,高中,員工180人,5b856,www.104.com.tw/job/5b856?jobsource=jolist_a_relevance
2/15,910-軟體工程師(新竹縣),兆赫電子股份有限公司,新竹縣湖口鄉文化路2號(303),"34,000",產線自動化程式撰寫。,新竹縣湖口鄉,1年以上,大學,上市上櫃,6xxa0,www.104.com.tw/job/6xxa0?jobsource=jolist_a_relevance
2/14,資深軟體工程師/軟體專案主管,隆門股份有限公司,新竹縣新豐鄉新豐村新和路198號,待遇面議,1.ERP相關程式開發維護。2.網站相關程式開發與修改。3.使用者軟體或電腦相關問題的處理解決。4.軟體相關SOP文件製作。.主管交辦任務執行,新竹縣新豐鄉,5年以上,學歷不拘,,4l1r2,www.104.com.tw/job/4l1r2?jobsource=jolist_a_relevance
2/14,BJ06-系統軟體工程師/資深工程師,緯穎科技服務股份有限公司,新北市汐止區新台五路一段90號8樓,待遇面議,1. 實驗室自動化之演算法設計、程式撰寫、AI應用2. 辦公室自動化之演算法設計、程式撰寫、資料工程、資料探勘、AI應用,新北市汐止區,經歷不拘,碩士,上市上櫃,5b0uh,www.104.com.tw/job/5b0uh?jobsource=jolist_a_relevance
2/15,Backend Developer 後端工程師,萬語研發科技有限公司,台北市信義區,"1,300"," position我們在尋找經驗豐富的後端工程師加入團隊！你的主要工作項內容和職責包含：1. 深度應用 AWS (EC2, RDS, S3, Cloudfront, etc.)2. 技術架構迭代演進，不斷推出更好用的版本3. 建立和優化 API",台北市信義區,經歷不拘,學歷不拘,員工12人,7i2rt,www.104.com.tw/job/7i2rt?jobsource=jolist_a_relevance
